         i                j             k               h               T              conc               kz     lz     por 
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.6703542000E-03  8.5774568000E-11  3.E+00  1.E-01
   134  1.3300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615300000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.7011873000E-03  8.5774568000E-11  3.E+00  1.E-01
   136  1.3500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615349000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.7318567000E-03  8.5774568000E-11  3.E+00  1.E-01
   138  1.3700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615390000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.7622943000E-03  8.5774568000E-11  3.E+00  1.E-01
   140  1.3900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615426000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.7924361000E-03  8.5774568000E-11  3.E+00  1.E-01
   142  1.4100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615456000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.8222229000E-03  8.5774568000E-11  3.E+00  1.E-01
   144  1.4300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615482000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.8516000000E-03  8.5774568000E-11  3.E+00  1.E-01
   146  1.4500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615504000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.8805175000E-03  8.5774568000E-11  3.E+00  1.E-01
   148  1.4700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615523000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.9089304000E-03  8.5774568000E-11  3.E+00  1.E-01
   150  1.4900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615540000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.9367982000E-03  8.5774568000E-11  3.E+00  1.E-01
   152  1.5100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615554000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.9640854000E-03  8.5774568000E-11  3.E+00  1.E-01
   154  1.5300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615566000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.9907609000E-03  8.5774568000E-11  3.E+00  1.E-01
   156  1.5500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615577000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.0167979000E-03  8.5774568000E-11  3.E+00  1.E-01
   158  1.5700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615586000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.0421741000E-03  8.5774568000E-11  3.E+00  1.E-01
   160  1.5900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615594000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.0668712000E-03  8.5774568000E-11  3.E+00  1.E-01
   162  1.6100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615601000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.0908746000E-03  8.5774568000E-11  3.E+00  1.E-01
   164  1.6300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615607000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.1141735000E-03  8.5774568000E-11  3.E+00  1.E-01
   166  1.6500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615613000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.1367603000E-03  8.5774568000E-11  3.E+00  1.E-01
   168  1.6700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615617000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.1586308000E-03  8.5774568000E-11  3.E+00  1.E-01
   170  1.6900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615621000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.1797835000E-03  8.5774568000E-11  3.E+00  1.E-01
   172  1.7100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615625000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2002197000E-03  8.5774568000E-11  3.E+00  1.E-01
   174  1.7300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615628000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2199431000E-03  8.5774568000E-11  3.E+00  1.E-01
   176  1.7500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615631000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2389595000E-03  8.5774568000E-11  3.E+00  1.E-01
   178  1.7700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615633000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2572769000E-03  8.5774568000E-11  3.E+00  1.E-01
   180  1.7900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615636000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2749047000E-03  8.5774568000E-11  3.E+00  1.E-01
   182  1.8100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615638000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.2918543000E-03  8.5774568000E-11  3.E+00  1.E-01
   184  1.8300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615639000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.3081381000E-03  8.5774568000E-11  3.E+00  1.E-01
   186  1.8500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615641000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.3237697000E-03  8.5774568000E-11  3.E+00  1.E-01
   188  1.8700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9615642000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  7.3387640000E-03  8.5774568000E-11  3.E+00  1.E-01
   190  1.8900000000E+01     2     0   0   1   0   0   0
